country,year,cement_co2,co2,coal_co2,flaring_co2,gas_co2,oil_co2
World,1750,,9.351,9.351,,,
World,1751,,9.351,9.351,,,
World,1752,,9.354,9.354,,,
World,1753,,9.354,9.354,,,
World,1754,,9.358,9.358,,,
World,1755,,9.362,9.362,,,
World,1756,,10.006,10.006,,,
World,1757,,10.01,10.01,,,
World,1758,,10.014,10.014,,,
World,1759,,10.017,10.017,,,
World,1760,,10.017,10.017,,,
World,1761,,10.974,10.974,,,
World,1762,,10.977,10.977,,,
World,1763,,10.981,10.981,,,
World,1764,,10.985,10.985,,,
World,1765,,10.988,10.988,,,
World,1766,,12.26,12.26,,,
World,1767,,12.263,12.263,,,
World,1768,,12.267,12.267,,,
World,1769,,12.271,12.271,,,
World,1770,,12.274,12.274,,,
World,1771,,13.612,13.612,,,
World,1772,,13.615,13.615,,,
World,1773,,13.619,13.619,,,
World,1774,,13.623,13.623,,,
World,1775,,13.626,13.626,,,
World,1776,,15.037,15.037,,,
World,1777,,15.041,15.041,,,
World,1778,,15.044,15.044,,,
World,1779,,15.048,15.048,,,
World,1780,,15.055,15.055,,,
World,1781,,16.843,16.843,,,
World,1782,,16.847,16.847,,,
World,1783,,16.854,16.854,,,
World,1784,,16.858,16.858,,,
World,1785,,16.869,16.869,,,
World,1786,,19.152,19.152,,,
World,1787,,19.159,19.159,,,
World,1788,,19.163,19.163,,,
World,1789,,19.17,19.17,,,
World,1790,,19.177,19.177,,,
World,1791,,21.42,21.42,,,
World,1792,,21.896,21.896,,,
World,1793,,21.914,21.914,,,
World,1794,,21.881,21.881,,,
World,1795,,21.892,21.892,,,
World,1796,,22.951,22.951,,,
World,1797,,24.094,24.094,,,
World,1798,,25.095,25.095,,,
World,1799,,26.428,26.428,,,
World,1800,,28.092,28.092,,,
World,1801,,27.96,27.96,,,
World,1802,,36.783,36.783,,,
World,1803,,31.488,31.488,,,
World,1804,,34.31,34.31,,,
World,1805,,33.419,33.419,,,
World,1806,,35.046,35.046,,,
World,1807,,36.874,36.874,,,
World,1808,,35.064,35.064,,,
World,1809,,35.09,35.09,,,
World,1810,,37.38,37.38,,,
World,1811,,39.582,39.582,,,
World,1812,,41.007,41.007,,,
World,1813,,41.22,41.22,,,
